alcatel	阿尔卡特
aux	奥克斯
orsus	奥盛
bird	波导
cect	CECT
skyworth	创维
changhong	长虹
smartisan	锤子
disney	迪士尼
eastcom	东信
dopod	多普达
dtt	大唐
daxian	大显
dbtel	迪比特
toshiba	东芝
doov	朵唯
dell	戴尔
philips	飞利浦
pantech	泛泰
fujitsu	富士通
gt	GT佳通
kongprofit	港利通
gaoxinqi	高新奇
google	谷歌
hp	惠普
blackberry	黑莓
htc	HTC
huawei	华为
asus	华硕
htw	恒基伟业
hisense	海信
haier	海尔
acer	宏碁
hkc	HKC
i-mate	i-mate
iuni	IUNI
gigabyte	技嘉
ztel	杰特Ztel
gionee	金立
jinpeng	金鹏
kyocera	京瓷
konka	康佳
kejian	科健
coolpad	酷派
lenovo	联想
lg	LG
mobiado	mobiado
motorola	摩托罗拉
benqsiemens	明基
meizu	魅族
nokia	诺基亚
soutec	南方高科
newsmy	纽曼
nec	NEC
o2	O2
okwap	OKWAP
oppo	OPPO
hosin	欧新
palm	Palm
apple	苹果
putian	普天
pulid	普莱达
hedy	七喜
cosun	侨兴
unis	清华紫光UNIS
qigi	琦基
sagem	萨基姆
soyea	数源
sed	桑达
capitel	首信
samsung	三星
sanyang	三洋
mitsubishi	三菱
panasonic	松下
sonyericss	索尼爱立信
sony	索尼
tcl	TCL
telsda	天时达
tianyu	天语
top	托普
ut	UT斯达康
vivo	vivo
vertu	Vertu
malata	万利达
vk	唯开
vcall	中桥
microsoft	微软
siemens	西门子
xoceco	厦华
amoi	夏新
panda	熊猫
sharp	夏普
hyundai	现代
miui	小米
ey	亿通
oneplus	一加
zhongtian	ZTC中天
zhongxing	中兴
zxtc	中讯天创
dec	中恒
galaxy	三星
xiaomi	小米
zte	中兴
iphone	苹果
dashen	大神
nubia	努比亚
letv	乐视
meitu	美图
xiaolajiao	小辣椒
qq	大Q
greenorange	青橙
xiaocai	小采
boway	邦华
honphone	长虹
ramos	蓝魔
koobee	酷比
f1	大神F1
eone	E人E本
zhizun	至尊
moloo	魔乐
mytel	脉腾
maiteng	脉腾
yulong	宇龙酷派
t-smart	天迈
k-touch	天宇
amazon	亚马逊
bbk	步步高
hasee	神舟
alps	阿尔卑斯
bestsonny	至尊宝
yusun	语信
kopo	酷珀
opsson	欧博信
pioneer	先锋
honor	华为荣耀
uoogou	优购
ebest	E派
teclast	台电
moto	摩托罗拉
datang	大唐
sast	先科
voto	维图
infocus	富可视
kliton	凯利通
feixun	斐讯
lovme	爱我
guangxin	广信
spreadtrum	天时达
tangwei	唐为
mlled	米蓝
mp	米派
colorfly	七彩虹
cube	酷比魔方
microsoft	微软
onda	昂达
luftco	龙酷
livefan	乐凡
hasee	神州
aigo	爱国者
kupa	kupa
chuwi	驰为
viewsonic	优派
archos	爱可视
voyo	voyo
msi	msi微星
pipo	pipo
thtf	同方
thinkpad	联想thinkpad
google	谷歌
galapad	影驰
hizee	汇泽
window	原道
sapphire	蓝宝石
bben	博本
neso	neso
ployer	普耐尔
blueing	蓝影
infocus	富可视
jumper	中柏
sanei	尚伊
vodafone	沃达丰
turnmeon	多美能
ampe	AMPE
cende	锡恩帝
inbo	品铂
souxin	SOSOON
newi	newi
fnf	五元素
vido	原道
yaxon	雅迅
horion	皓丽
qiku	奇酷
zuk	zuk
8848	8848钛金
innos	innos
